country,city,location,coordinates,measurements_parameter,measurements_sourcename,measurements_unit,measurements_value,measurements_lastupdated,country_name_en
DE,Hamburg,Hamburg Max-Brauer-Allee II (Straße),"{'lon': 9.943012000077177, 'lat': 53.55566799998861}",CO,eea,µg/m³,404.0,2024-03-11T12:00:00+01:00,Germany
DE,Dessau-Roßlau,Dessau/Roßlau,"{'lon': 12.23868600001108, 'lat': 51.885764000110576}",PM10,eea,µg/m³,8.11462,2024-09-14T23:00:00+02:00,Germany
DE,Karlsruhe,Karlsruhe-Nordwest,"{'lon': 8.355627999838132, 'lat': 49.02859400001384}",SO2,eea,µg/m³,3.0,2017-01-06T10:00:00+01:00,Germany
DE,Lüder,Waldhof,"{'lon': 10.756733000366493, 'lat': 52.80077299986921}",NO,eea,µg/m³,0.7000000000000001,2024-03-11T11:00:00+01:00,Germany
DE,Bryan Hellack,Forellenbach,"{'lon': 13.420572999874633, 'lat': 48.947610999847484}",SO2,eea,µg/m³,3052.62,2020-11-06T06:00:00+01:00,Germany
DE,Bryan Hellack,Forellenbach,"{'lon': 13.420572999874633, 'lat': 48.947610999847484}",NO,eea,µg/m³,0.38,2024-03-11T12:00:00+01:00,Germany
DE,Filderstadt,Bernhausen,"{'lon': 9.227768999659043, 'lat': 48.6780690002512}",NO2,eea,µg/m³,11.35,2024-05-31T13:00:00+02:00,Germany
DE,Bad Hindelang,Bad Hindelang/Oberjoch,"{'lon': 10.404231999684852, 'lat': 47.518013000238426}",O3,eea,µg/m³,79.67,2024-05-31T13:00:00+02:00,Germany
DE,Manfred Lotz,NET.DE_BB,"{'lon': 13.059945, 'lat': 52.401351999999996}",PM10,EEA Germany,µg/m³,45.0,2024-03-04T10:00:00+01:00,Germany
DE,Manfred Lotz,NET.DE_BB,"{'lon': 13.059945, 'lat': 52.401351999999996}",PM2.5,EEA Germany,µg/m³,41.0,2024-03-04T10:00:00+01:00,Germany
DE,Manfred Lotz,NET.DE_BB,"{'lon': 13.059945, 'lat': 52.401351999999996}",NO,EEA Germany,µg/m³,6.0,2024-03-04T10:00:00+01:00,Germany
DE,Manfred Lotz,NET.DE_BB,"{'lon': 12.548376, 'lat': 52.40930899999999}",NO,EEA Germany,µg/m³,32.0,2024-03-04T10:00:00+01:00,Germany
DE,Rheinland-Pfalz,DERP014,"{'lon': 7.193486, 'lat': 49.741035}",PM10,EEA Germany,µg/m³,14.68060017,2024-01-29T20:00:00+01:00,Germany
DE,Rheinland-Pfalz,DERP011,"{'lon': 8.265563, 'lat': 50.009954}",CO,EEA Germany,µg/m³,1523.43392,2024-01-29T20:00:00+01:00,Germany
DE,Thüringen,DETH009,"{'lon': 12.07471, 'lat': 50.877317}",NO2,EEA Germany,µg/m³,34.50857544,2024-01-29T20:00:00+01:00,Germany
DE,Thüringen,DETH009,"{'lon': 12.07471, 'lat': 50.877317}",NO,EEA Germany,µg/m³,1.24740005,2024-01-29T20:00:00+01:00,Germany
DE,Hessen,DEHE062,"{'lon': 8.769396, 'lat': 50.807018}",NO,EEA Germany,µg/m³,128.24528503,2024-01-29T20:00:00+01:00,Germany
DE,Rheinland-Pfalz,DERP017,"{'lon': 7.826521, 'lat': 49.270263}",SO2,EEA Germany,µg/m³,1.00012505,2024-01-29T20:00:00+01:00,Germany
DE,,"Cottbus, W.-Külz-Str.","{'lon': 14.325549, 'lat': 51.754129999999996}",NO2,EEA Germany,µg/m³,23.8,2016-12-21T12:00:00+01:00,Germany
DE,,Hauptstraße Oberstedten,"{'lon': 8.5643869, 'lat': 50.226631}",TEMPERATURE,airgradient,c,13.362499872843424,2024-09-15T10:00:00+02:00,Germany
DE,Widuchowa,Widuchowa,"{'lon': 14.382245, 'lat': 53.122325}",SO2,GIOS,µg/m³,2.48704,2024-09-15T10:00:00+02:00,Germany
DE,Jossgrund,Spessart,"{'lon': 9.399441000346588, 'lat': 50.164429999738346}",NO2,eea,µg/m³,2.351071,2024-09-14T23:00:00+02:00,Germany
DE,Berlin,Berlin Karlshorst,"{'lon': 13.529504000309398, 'lat': 52.48529599985933}",NO,eea,µg/m³,2.11,2024-03-11T12:00:00+01:00,Germany
DE,Kulmbach,Kulmbach/Konrad-Adenauer-Straße,"{'lon': 11.442591000218336, 'lat': 50.10313499995734}",NO2,eea,µg/m³,11.91,2024-09-15T00:00:00+02:00,Germany
DE,Michelstadt,Michelstadt,"{'lon': 9.001981000442658, 'lat': 49.672506999891084}",O3,eea,µg/m³,25.8491783,2024-09-15T00:00:00+02:00,Germany
DE,Kehl,Kehl,"{'lon': 7.802316999571487, 'lat': 48.578177999862866}",SO2,eea,µg/m³,2.0,2017-01-06T10:00:00+01:00,Germany
DE,Bebra,Bebra,"{'lon': 9.800259999625519, 'lat': 50.97002399999657}",O3,eea,µg/m³,38.1499,2024-09-15T00:00:00+02:00,Germany
DE,Glashütten,Kleiner Feldberg,"{'lon': 8.446079000181808, 'lat': 50.2219409999925}",PM2.5,eea,µg/m³,1.9591,2024-09-15T00:00:00+02:00,Germany
DE,Riedstadt,Riedstadt,"{'lon': 8.51679799955829, 'lat': 49.82516500015017}",O3,eea,µg/m³,56.25464,2024-09-15T00:00:00+02:00,Germany
DE,Berlin,Berlin Mitte,"{'lon': 13.41883300000022, 'lat': 52.51360600001067}",NO2,eea,µg/m³,7.68,2024-09-15T00:00:00+02:00,Germany
DE,Potsdam,Potsdam-Zentrum,"{'lon': 13.060160000191525, 'lat': 52.40139000019726}",PM2.5,eea,µg/m³,3.0,2024-09-15T00:00:00+02:00,Germany
DE,Augsburg,Augsburg/Bourges-Platz,"{'lon': 10.888370000280668, 'lat': 48.37657599981851}",NO,eea,µg/m³,1.44,2024-03-11T12:00:00+01:00,Germany
DE,Osnabrück,Osnabrück,"{'lon': 8.052859999734808, 'lat': 52.25534000021471}",NO,eea,µg/m³,1.58814,2024-03-11T12:00:00+01:00,Germany
DE,Wiesloch,Wiesloch,"{'lon': 8.700102999918865, 'lat': 49.30073100027894}",O3,eea,µg/m³,32.844,2024-09-15T00:00:00+02:00,Germany
DE,Rostock,Rostock-Warnemünde,"{'lon': 12.080002999629743, 'lat': 54.171329999740905}",PM2.5,eea,µg/m³,2.73,2024-09-14T23:00:00+02:00,Germany
DE,Augsburg,Augsburg/Königsplatz,"{'lon': 10.895029000377754, 'lat': 48.36458899979343}",SO2,eea,µg/m³,1.52,2018-06-07T08:00:00+02:00,Germany
DE,Leverkusen,Leverkusen-Manfort,"{'lon': 7.004975999648738, 'lat': 51.028931000106084}",PM10,eea,µg/m³,6.798,2024-09-14T23:00:00+02:00,Germany
DE,Altenberg,Zinnwald,"{'lon': 13.751450000277025, 'lat': 50.73147799981492}",NO,eea,µg/m³,1.094,2024-03-11T12:00:00+01:00,Germany
DE,Bremen,Bremen-Hasenbüren,"{'lon': 8.695059999847635, 'lat': 53.11769999998346}",PM10,eea,µg/m³,15.53,2024-09-14T23:00:00+02:00,Germany
DE,Koblenz,Koblenz-Friedrich-Ebert-Ring,"{'lon': 7.596632999969653, 'lat': 50.35440300017138}",NO,eea,µg/m³,12.12187862,2024-03-11T12:00:00+01:00,Germany
DE,Münster,Münster Weseler Straße,"{'lon': 7.619376999982211, 'lat': 51.95327800020447}",NO,eea,µg/m³,14.903,2024-03-11T12:00:00+01:00,Germany
DE,Wiesbaden,Wiesbaden Schiersteiner Straße,"{'lon': 8.228864999940791, 'lat': 50.07211900026763}",PM2.5,eea,µg/m³,4.7021500000000005,2024-09-14T23:00:00+02:00,Germany
DE,Goslar,Oker/Harlingerode,"{'lon': 10.481319999628509, 'lat': 51.901580000075505}",O3,eea,µg/m³,65.822,2024-09-14T23:00:00+02:00,Germany
DE,Sylt,Westerland,"{'lon': 8.308019999997011, 'lat': 54.92312499985301}",PM2.5,eea,µg/m³,2.84,2024-09-14T23:00:00+02:00,Germany
DE,Borken,Borken-Gemen,"{'lon': 6.874469000411926, 'lat': 51.86204199989495}",PM10,eea,µg/m³,11.627,2024-09-14T23:00:00+02:00,Germany
DE,Saarbrücken,Saarbrücken-Eschberg,"{'lon': 7.036322000022383, 'lat': 49.23722699974104}",NO2,eea,µg/m³,6.34,2024-09-14T23:00:00+02:00,Germany
DE,Leuna,Leuna,"{'lon': 12.032141000243719, 'lat': 51.32136400015423}",NO2,eea,µg/m³,3.498445,2024-09-14T23:00:00+02:00,Germany
DE,Suhl,Suhl F.-König-Str,"{'lon': 10.693091999590123, 'lat': 50.611530000249815}",NO,eea,µg/m³,5.37646866,2024-03-11T12:00:00+01:00,Germany
DE,Schwerin,Schwerin Obotr. West,"{'lon': 11.397947999566915, 'lat': 53.63051599991754}",NO2,eea,µg/m³,8.29,2024-09-14T23:00:00+02:00,Germany
DE,Cuxhaven,Elbmündung,"{'lon': 8.801220000363141, 'lat': 53.8301699999686}",O3,eea,µg/m³,85.8544,2024-09-14T23:00:00+02:00,Germany
DE,Ruhwinkel,Bornhöved,"{'lon': 10.240595999643961, 'lat': 54.093230000148345}",O3,eea,µg/m³,66.157,2024-09-14T23:00:00+02:00,Germany
DE,Lübeck,Lübeck-St. Jürgen,"{'lon': 10.69593600020263, 'lat': 53.835491999815105}",O3,eea,µg/m³,46.936,2024-09-14T23:00:00+02:00,Germany
